crime_id;year;month;day;weekday;hour;aisp;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation;victim_id
20211213876;2021;11;26;Sexta;19;2ª AISP – São José dos Pinhais;CAMPINA GRANDE DO SUL;JARDIM PAULISTA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);17;M;PARDA;;5486
20211213675;2021;11;26;Sexta;19;2ª AISP – São José dos Pinhais;COLOMBO;PALOMA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;BRANCA;;5484
20211252245;2021;11;26;Sexta;20;2ª AISP – São José dos Pinhais;SAO JOSE DOS PINHAIS;AFONSO PENA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);45;M;;;5559
20211226766;2021;11;26;Sexta;20;11ª AISP - Cascavel;CATANDUVAS;ALTO ALEGRE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;M;;;5509
20211214660;2021;11;26;Sexta;20;14ª AISP - Campo Mourão;TERRA BOA;JARDIM PARAISO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;BRANCA;;5488
20211214006;2021;11;26;Sexta;22;1ª AISP - Curitiba;CURITIBA;SANTA QUITERIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;BRANCA;HETEROSSEXUAL;5487
20211214528;2021;11;26;Sexta;23;13ª AISP – Toledo;TOLEDO;RURAL OESTE DE TOLEDO;Praticar Homicídio Culposo na Direção de Veículo;32;M;;;15835
20211213839;2021;11;26;Sexta;23;14ª AISP - Campo Mourão;CAMPO MOURAO;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;BRANCA;;5485
20211215042;2021;11;27;Sábado;1;2ª AISP – São José dos Pinhais;SAO JOSE DOS PINHAIS;BARRO PRETO;Praticar Homicídio Culposo na Direção de Veículo;64;M;BRANCA;;15836
20211215112;2021;11;27;Sábado;2;3ª AISP – Paranaguá;PARANAGUA;SAO JOAO DOIS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);16;M;;;5489
20211215606;2021;11;27;Sábado;13;7ª AISP – Guarapuava;GUARAPUAVA;DISTRITO ENTRE RIOS;Praticar Homicídio Culposo na Direção de Veículo;2;M;PARDA;;15837
20211215606;2021;11;27;Sábado;13;7ª AISP – Guarapuava;GUARAPUAVA;DISTRITO ENTRE RIOS;Praticar Homicídio Culposo na Direção de Veículo;32;F;BRANCA;;15838
20211224167;2021;11;27;Sábado;17;2ª AISP – São José dos Pinhais;COLOMBO;GUARAITUBA;Praticar Homicídio Culposo na Direção de Veículo;21;M;;;15845
20211215962;2021;11;27;Sábado;17;7ª AISP – Guarapuava;NOVA TEBAS;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);75;M;BRANCA;HETEROSSEXUAL;5491
20211215717;2021;11;27;Sábado;17;7ª AISP – Guarapuava;PITANGA;VILA NOVA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);15;F;BRANCA;HETEROSSEXUAL;5490
20211215989;2021;11;27;Sábado;20;2ª AISP – São José dos Pinhais;CAMPO LARGO;NOSSA SENHORA APARECIDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;BRANCA;;5492
20211216848;2021;11;27;Sábado;22;14ª AISP - Campo Mourão;PEABIRU;RURAL;Praticar Homicídio Culposo na Direção de Veículo;32;M;BRANCA;;15839
20211216958;2021;11;27;Sábado;23;15ª AISP – Umuarama;MARILUZ;RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;;;5495
20211219129;2021;11;27;Sábado;23;22ª AISP - Telêmaco Borba;TELEMACO BORBA;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;M;PARDA;;5501
20211216755;2021;11;28;Domingo;1;7ª AISP – Guarapuava;GUARAPUAVA;ESTADOS;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;;;5493
20211217097;2021;11;28;Domingo;1;16ª AISP – Paranavaí;PARAISO DO NORTE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);17;M;PARDA;;5497
20211216770;2021;11;28;Domingo;2;11ª AISP - Cascavel;CASCAVEL;UNIVERSITARIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;BRANCA;;5494
20211217068;2021;11;28;Domingo;6;17ª AISP – Maringá;MARINGA;PARQUE RESIDENCIAL AEROPORTO III;Praticar Homicídio Culposo na Direção de Veículo;22;M;PARDA;;15840
20211217088;2021;11;28;Domingo;7;13ª AISP – Toledo;OURO VERDE DO OESTE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);17;M;BRANCA;HETEROSSEXUAL;5496
20211228235;2021;11;28;Domingo;11;2ª AISP – São José dos Pinhais;SAO JOSE DOS PINHAIS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;75;F;BRANCA;;15848
20211218138;2021;11;28;Domingo;17;2ª AISP – São José dos Pinhais;SAO JOSE DOS PINHAIS;IPE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);31;M;PARDA;;5498
20211218147;2021;11;28;Domingo;18;23ª AISP – Jacarezinho;JOAQUIM TAVORA;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;41;M;BRANCA;;15841
20211218844;2021;11;28;Domingo;21;5ª AISP - São Mateus do Sul;SAO MATEUS DO SUL;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;20;M;BRANCA;;15842
20211218458;2021;11;28;Domingo;21;7ª AISP – Guarapuava;TURVO;VILA JAIME;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);34;M;BRANCA;;5499
20211218560;2021;11;28;Domingo;21;20ª AISP – Londrina;TAMARANA;BOM PASTOR;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);22;M;BRANCA;;5500
20211236795;2021;11;28;Domingo;22;7ª AISP – Guarapuava;GUARAPUAVA;VILA BELA;Praticar Homicídio Culposo na Direção de Veículo;61;F;PARDA;;15852
20211218743;2021;11;29;Segunda;0;4ª AISP - Ponta Grossa;PIRAI DO SUL;JARDIM PRIMAVERA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;23;M;BRANCA;;20253
20211219440;2021;11;29;Segunda;6;13ª AISP – Toledo;TOLEDO;PINHEIRINHO;Praticar Homicídio Culposo na Direção de Veículo;44;M;PARDA;HETEROSSEXUAL;15843
20211222873;2021;11;29;Segunda;14;1ª AISP - Curitiba;CURITIBA;SITIO CERCADO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;22;M;BRANCA;;20468
20211223006;2021;11;29;Segunda;15;3ª AISP – Paranaguá;PARANAGUA;BEIRA RIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);18;M;;;5502
20211223300;2021;11;29;Segunda;18;23ª AISP – Jacarezinho;SIQUEIRA CAMPOS;BAIRRO DO SANTUARIO;Feminicídio;29;F;BRANCA;HETEROSSEXUAL;12086
20211223300;2021;11;29;Segunda;18;23ª AISP – Jacarezinho;SIQUEIRA CAMPOS;BAIRRO DO SANTUARIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;F;BRANCA;HETEROSSEXUAL;5503
