year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity;sexual_orientation
2024;4;1;SEGUNDA;10;SALTO DO LONTRA;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;64;M;;HETEROSSEXUAL
2024;5;31;SEXTA;11;RENASCENCA;COASUL;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;BRANCA;
2024;5;31;SEXTA;11;RENASCENCA;COASUL;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;PRETA;
2024;5;30;QUINTA;7;DOIS VIZINHOS;CENTRO SUL;Praticar Homicídio Culposo na Direção de Veículo;56;M;;
2024;5;27;SEGUNDA;9;PLANALTO;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;36;M;;
2024;5;27;SEGUNDA;9;PLANALTO;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;59;;;
2024;5;23;QUINTA;19;MARMELEIRO;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);62;M;BRANCA;
2024;5;19;DOMINGO;19;DOIS VIZINHOS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;42;F;;
2024;5;19;DOMINGO;19;DOIS VIZINHOS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;52;M;;
2024;5;19;DOMINGO;9;DOIS VIZINHOS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;36;M;;
2024;5;13;SEGUNDA;1;FRANCISCO BELTRAO;PINHEIRINHO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);49;F;PARDA;
2024;5;10;SEXTA;22;FRANCISCO BELTRAO;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;64;M;;
2024;5;10;SEXTA;15;SANTO ANTONIO DO SUDOESTE;AREA RURAL;Praticar Homicídio Culposo na Direção de Veículo;20;M;;
2024;5;2;QUINTA;22;MARMELEIRO;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);54;M;PARDA;
2024;6;23;DOMINGO;14;NOVA PRATA DO IGUACU;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;82;F;BRANCA;
2024;6;23;DOMINGO;2;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;23;M;BRANCA;
2024;6;22;SABADO;6;FRANCISCO BELTRAO;KM 08;Praticar Homicídio Culposo na Direção de Veículo;37;F;BRANCA;
2024;6;18;TERCA;23;FRANCISCO BELTRAO;PADRE ULRICO;Praticar Homicídio Culposo na Direção de Veículo;50;F;BRANCA;
2024;6;14;SEXTA;23;SANTO ANTONIO DO SUDOESTE;CENTRO;Roubo com Resultado Morte;83;M;BRANCA;
2024;6;9;DOMINGO;0;CRUZEIRO DO IGUACU;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;58;M;PARDA;
2024;6;1;SABADO;0;FRANCISCO BELTRAO;LINHA TREVO SALGADO FILHO;Praticar Homicídio Culposo na Direção de Veículo;23;;;
2024;7;24;QUARTA;13;MARMELEIRO;ALVORADA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);58;M;;
2024;7;21;DOMINGO;19;ENEAS MARQUES;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;64;;;
2024;7;17;QUARTA;12;FLOR DA SERRA DO SUL;CENTRO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;PARDA;
2024;7;17;QUARTA;12;FLOR DA SERRA DO SUL;CENTRO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;PARDA;
2024;7;15;SEGUNDA;0;DOIS VIZINHOS;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;25;M;BRANCA;
2024;7;14;DOMINGO;13;SANTA IZABEL DO OESTE;NOSSA SENHORA FATIMA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);81;M;AMARELA;
2024;7;14;DOMINGO;4;SANTO ANTONIO DO SUDOESTE;VILA AURORA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);40;M;BRANCA;HETEROSSEXUAL
2024;7;13;SABADO;4;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;22;M;;
2024;7;5;SEXTA;21;ENEAS MARQUES;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;6;M;;
2024;7;5;SEXTA;21;ENEAS MARQUES;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;57;M;;
2024;7;3;QUARTA;15;CAPANEMA;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;45;F;;
2024;7;3;QUARTA;15;CAPANEMA;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;58;M;;
2024;8;28;QUARTA;12;BARRACAO;INDUSTRIAL;Praticar Homicídio Culposo na Direção de Veículo;45;M;BRANCA;
2024;8;14;QUARTA;19;FRANCISCO BELTRAO;VILA RURAL GRALHA AZUL;Praticar Homicídio Culposo na Direção de Veículo;58;M;BRANCA;
2024;8;19;SEGUNDA;14;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;17;M;;
2024;8;10;SABADO;20;DOIS VIZINHOS;CENTRO NORTE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);41;M;PARDA;
2024;8;10;SABADO;0;MARMELEIRO;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;36;M;;
2024;8;7;QUARTA;19;MARMELEIRO;IPIRANGA;Praticar Homicídio Culposo na Direção de Veículo;31;M;;
2024;9;26;QUINTA;9;FRANCISCO BELTRAO;JARDIM VIRGINIA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;;
2024;9;21;SABADO;20;DOIS VIZINHOS;;Praticar Homicídio Culposo na Direção de Veículo;43;F;;
2024;9;11;QUARTA;11;FRANCISCO BELTRAO;JARDIM ITALIA;Praticar Homicídio Culposo na Direção de Veículo;58;;;
2024;10;29;TERCA;14;BOA ESPERANCA DO IGUACU;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);59;M;BRANCA;
2024;10;27;DOMINGO;19;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;51;F;BRANCA;
2024;10;27;DOMINGO;19;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;58;M;BRANCA;
2024;10;26;SABADO;21;FRANCISCO BELTRAO;PINHEIRINHO;Lesão Corporal com Resultado Morte;89;F;BRANCA;
2024;10;12;SABADO;8;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;28;F;BRANCA;
2024;10;22;TERCA;7;FRANCISCO BELTRAO;PINHEIRINHO;Praticar Homicídio Culposo na Direção de Veículo;60;F;BRANCA;
2024;10;22;TERCA;7;FRANCISCO BELTRAO;PINHEIRINHO;Praticar Homicídio Culposo na Direção de Veículo;66;M;BRANCA;
2024;10;21;SEGUNDA;0;FRANCISCO BELTRAO;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);39;M;;
2024;10;15;TERCA;8;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;57;M;BRANCA;
2024;10;2;QUARTA;23;FRANCISCO BELTRAO;SAO CRISTOVAO;Roubo com Resultado Morte;66;M;BRANCA;
2024;10;2;QUARTA;18;DOIS VIZINHOS;SAGRADA FAMILIA;Praticar Homicídio Culposo na Direção de Veículo;27;M;;
2024;10;1;TERCA;21;FRANCISCO BELTRAO;PADRE ULRICO;Praticar Homicídio Culposo na Direção de Veículo;43;M;BRANCA;
2024;11;2;SABADO;5;MANFRINOPOLIS;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;69;M;BRANCA;
2024;11;30;SABADO;20;FRANCISCO BELTRAO;PINHEIRINHO;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;0,083;M;PARDA;
2024;11;30;SABADO;13;FRANCISCO BELTRAO;PADRE ULRICO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);49;M;BRANCA;
2024;11;17;DOMINGO;7;FLOR DA SERRA DO SUL;RODOVIA;Praticar Homicídio Culposo na Direção de Veículo;16;M;;
2024;11;20;QUARTA;18;FRANCISCO BELTRAO;CABECEIRA DO RIO DO MATO;Praticar Homicídio Culposo na Direção de Veículo;36;;;
2024;11;14;QUINTA;22;FRANCISCO BELTRAO;PADRE ULRICO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;F;PARDA;
2024;11;14;QUINTA;19;DOIS VIZINHOS;CENTRO NORTE;Praticar Homicídio Culposo na Direção de Veículo;12;F;;
2024;11;14;QUINTA;19;DOIS VIZINHOS;CENTRO NORTE;Praticar Homicídio Culposo na Direção de Veículo;49;F;;
2024;11;13;QUARTA;14;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;36;M;BRANCA;
2024;11;10;DOMINGO;22;BARRACAO;JARDIM VALE DO CAPAN;Praticar Homicídio Culposo na Direção de Veículo;43;M;PARDA;
2024;11;3;DOMINGO;19;RENASCENCA;ZONA RURAL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);54;M;;
2024;11;1;SEXTA;20;PRANCHITA;RURAL;Praticar Homicídio Culposo na Direção de Veículo;50;M;BRANCA;
2024;12;29;DOMINGO;16;CRUZEIRO DO IGUACU;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);63;M;BRANCA;
2024;12;16;SEGUNDA;8;FRANCISCO BELTRAO;LINHA TRITON;Praticar Homicídio Culposo na Direção de Veículo;76;F;BRANCA;
2024;12;8;DOMINGO;21;AMPERE;SANTA MONICA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);49;M;BRANCA;
2024;12;20;SEXTA;19;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;47;M;;
2023;1;1;DOMINGO;1;SALTO DO LONTRA;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;34;M;;
2023;1;2;SEGUNDA;16;FRANCISCO BELTRAO;ALTO JACUTINGA;Praticar Homicídio Culposo na Direção de Veículo;27;F;;
2023;1;2;SEGUNDA;16;FRANCISCO BELTRAO;ALTO JACUTINGA;Praticar Homicídio Culposo na Direção de Veículo;54;F;;
2023;1;2;SEGUNDA;16;FRANCISCO BELTRAO;ALTO JACUTINGA;Praticar Homicídio Culposo na Direção de Veículo;59;M;;
2023;1;5;QUINTA;2;SALTO DO LONTRA;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;48;M;;
2023;1;14;SABADO;13;FRANCISCO BELTRAO;LINHA EVA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;;
2023;1;20;SEXTA;22;ENEAS MARQUES;VISTA ALEGRE;Praticar Homicídio Culposo na Direção de Veículo;27;;;
2023;1;28;SABADO;19;MANFRINOPOLIS;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;36;M;BRANCA;
2023;1;29;DOMINGO;23;FRANCISCO BELTRAO;KENNEDY;Praticar Homicídio Culposo na Direção de Veículo;39;M;BRANCA;HETEROSSEXUAL
2023;1;31;TERCA;6;CAPANEMA;RURAL;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;44;M;BRANCA;
2023;2;1;QUARTA;6;NOVA PRATA DO IGUACU;SAO JORGE;Feminicídio;19;F;PARDA;
2023;2;1;QUARTA;6;NOVA PRATA DO IGUACU;SAO JORGE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);19;F;PARDA;
2023;2;12;DOMINGO;10;FRANCISCO BELTRAO;SADIA;Praticar Homicídio Culposo na Direção de Veículo;21;M;BRANCA;
2023;2;16;QUINTA;14;AMPERE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;67;F;;
2023;2;16;QUINTA;18;DOIS VIZINHOS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;42;M;;
2023;2;16;QUINTA;18;DOIS VIZINHOS;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;46;M;;
2023;2;19;DOMINGO;3;SANTA IZABEL DO OESTE;SAO JOSE OPERARIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);41;M;PARDA;
2023;2;21;TERCA;8;FRANCISCO BELTRAO;VILA NOVA;Praticar Homicídio Culposo na Direção de Veículo;31;M;;
2023;2;21;TERCA;21;DOIS VIZINHOS;LINHA SAO BRAZ;Praticar Homicídio Culposo na Direção de Veículo;41;F;PARDA;
2023;2;21;TERCA;22;FRANCISCO BELTRAO;PINHEIRINHO;Praticar Homicídio Culposo na Direção de Veículo;18;M;;
2023;2;23;QUINTA;10;NOVA ESPERANCA DO SUDOESTE;ZONA RURAL;Praticar Homicídio Culposo na Direção de Veículo;43;F;;
2023;2;26;DOMINGO;1;SANTA IZABEL DO OESTE;CENTRO;Feminicídio;16;F;PARDA;
2023;2;26;DOMINGO;1;SANTA IZABEL DO OESTE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);16;F;PARDA;
2023;2;27;SEGUNDA;6;FRANCISCO BELTRAO;AGUA BRANCA;Praticar Homicídio Culposo na Direção de Veículo;40;M;BRANCA;
2023;3;4;SABADO;22;AMPERE;INDUSTRIAL 1;Praticar Homicídio Culposo na Direção de Veículo;39;F;;
2023;3;5;DOMINGO;21;FLOR DA SERRA DO SUL;FURLANETTO;Praticar Homicídio Culposo na Direção de Veículo;54;M;;
2023;3;11;SABADO;3;FRANCISCO BELTRAO;SECCAO PROGRESSO;Praticar Homicídio Culposo na Direção de Veículo;28;M;;
2023;3;11;SABADO;20;REALEZA;LINHA SAO SEBASTIAO;Lesão Corporal com Resultado Morte;38;M;;
2023;3;18;SABADO;2;FRANCISCO BELTRAO;KM 12;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;BRANCA;
2023;3;18;SABADO;2;FRANCISCO BELTRAO;KM 12;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;BRANCA;
2023;3;18;SABADO;8;FRANCISCO BELTRAO;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;23;M;;
