year;month;day;weekday;hour;city;neighborhood;nature;victim_age;gender;ethnicity
2024;8;14;QUARTA;6;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;F;BRANCA
2024;8;6;TERCA;2;ALMIRANTE TAMANDARE;HUMAITA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;M;PARDA
2024;9;22;DOMINGO;20;ALMIRANTE TAMANDARE;RESTINGA SECA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);55;M;PARDA
2024;9;22;DOMINGO;0;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);27;M;PRETA
2024;10;23;QUARTA;21;ALMIRANTE TAMANDARE;HUMAITA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;F;PARDA
2024;10;19;SABADO;10;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;;
2024;10;16;QUARTA;11;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);20;M;BRANCA
2024;11;22;SEXTA;17;ALMIRANTE TAMANDARE;TANGUA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;33;M;PARDA
2024;11;22;SEXTA;17;ALMIRANTE TAMANDARE;TANGUA;Morte por Intervenção Legal de Agente do Estado NÃO INFORMADO MILAE;36;M;BRANCA
;;;;;;;;;;
2024;11;9;SABADO;18;ALMIRANTE TAMANDARE;CENTRO;Praticar Homicídio Culposo na Direção de Veículo;43;M;BRANCA
;;;;;;;;;;
2024;12;18;QUARTA;22;ALMIRANTE TAMANDARE;TRANQUEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;BRANCA
2024;12;11;QUARTA;19;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;PARDA
2024;12;10;TERCA;20;ALMIRANTE TAMANDARE;LAMENHA GRANDE;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;;
2024;12;9;SEGUNDA;2;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);32;M;
2024;12;9;SEGUNDA;10;ALMIRANTE TAMANDARE;CACHOEIRA;Praticar Homicídio Culposo na Direção de Veículo;51;M;
2024;12;1;DOMINGO;21;ALMIRANTE TAMANDARE;TRANQUEIRA;Lesão Corporal com Resultado Morte;56;M;BRANCA
2023;1;2;SEGUNDA;21;ALMIRANTE TAMANDARE;BONFIM;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;PARDA
2023;1;7;SABADO;1;ALMIRANTE TAMANDARE;CAMPINA DO ARRUDA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);33;M;BRANCA
2023;1;7;SABADO;3;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;BRANCA
2023;1;15;DOMINGO;15;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);;M;
2023;1;22;DOMINGO;1;ALMIRANTE TAMANDARE;BOICHININGA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;M;PARDA
2023;1;22;DOMINGO;9;ALMIRANTE TAMANDARE;BOICHININGA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);23;;
2023;2;6;SEGUNDA;7;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);26;M;
2023;2;17;SEXTA;22;ALMIRANTE TAMANDARE;CACHOEIRA;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);29;M;PARDA
2023;2;18;SABADO;7;ALMIRANTE TAMANDARE;SAO MIGUEL;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);35;M;PARDA
2023;3;3;SEXTA;20;ALMIRANTE TAMANDARE;CENTRO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);28;M;
2023;3;10;SEXTA;6;ALMIRANTE TAMANDARE;MATO DENTRO;Praticar Homicídio Culposo na Direção de Veículo;64;M;PARDA
2023;3;16;QUINTA;13;ALMIRANTE TAMANDARE;COLONIA ANTONIO PRADO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);25;M;BRANCA
2023;3;21;TERCA;22;ALMIRANTE TAMANDARE;COLONIA SAO VENANCIO;Homicídio Doloso (homicídio simples e qualificado, feminicídio e homicídio doloso no trânsito);41;M;BRANCA
